step,coverage,cum_time,info_gain,overlap,fail,dt
1.000000000000000000e+00,3.725694444441857156e-01,3.933835385865677020e-02,3.524945770065076034e-01,6.475054229934924521e-01,0.000000000000000000e+00,3.933835385865677020e-02
2.000000000000000000e+00,3.916666666663946583e-01,7.940050124359263051e-02,3.160919540229885083e-01,6.839080459770114917e-01,0.000000000000000000e+00,4.006214738493585337e-02
3.000000000000000000e+00,4.084722222219385190e-01,1.116307470173962813e-01,3.261455525606469230e-01,6.738544474393530770e-01,0.000000000000000000e+00,3.223024577380364381e-02
4.000000000000000000e+00,4.295138888885906003e-01,1.625867235962950019e-01,3.020937188434695830e-01,6.979062811565304170e-01,0.000000000000000000e+00,5.095597657889873455e-02
5.000000000000000000e+00,4.517361111107973670e-01,2.124881964638355991e-01,3.059273422562141520e-01,6.940726577437859035e-01,0.000000000000000000e+00,4.990147286754061107e-02
6.000000000000000000e+00,4.517361111107973670e-01,2.634441730427343198e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.095597657889873455e-02
7.000000000000000000e+00,4.517361111107973670e-01,3.133456459102749170e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.990147286754061107e-02
8.000000000000000000e+00,4.517361111107973670e-01,3.455758916840785400e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.223024577380364381e-02
9.000000000000000000e+00,4.677777777774528856e-01,3.838742957050619298e-01,2.756563245823389074e-01,7.243436754176610926e-01,1.000000000000000000e+00,3.829840402098341062e-02
1.000000000000000000e+01,4.854861111107739435e-01,4.346997569839073372e-01,2.656250000000000000e-01,7.343750000000000000e-01,0.000000000000000000e+00,5.082546127884540049e-02
1.100000000000000000e+01,5.041666666663164875e-01,4.836431283026823014e-01,2.703517587939698319e-01,7.296482412060301126e-01,0.000000000000000000e+00,4.894337131877496416e-02
1.200000000000000000e+01,5.209027777774160040e-01,5.228851397680154278e-01,2.536842105263157898e-01,7.463157894736842657e-01,0.000000000000000000e+00,3.924201146533308482e-02
1.300000000000000000e+01,5.209027777774160040e-01,5.727866126355560805e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.990147286754061107e-02
1.400000000000000000e+01,5.209027777774160040e-01,6.217299839543311002e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.894337131877496416e-02
1.500000000000000000e+01,5.324305555551858138e-01,6.550762913707174340e-01,2.130937098844672695e-01,7.869062901155327028e-01,0.000000000000000000e+00,3.334630741638633378e-02
1.600000000000000000e+01,5.324305555551858138e-01,6.873065371445210570e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.223024577380364381e-02
1.700000000000000000e+01,5.324305555551858138e-01,7.382625137234197776e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.095597657889873455e-02
1.800000000000000000e+01,5.324305555551858138e-01,7.890879750022651296e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.082546127884540049e-02
1.900000000000000000e+01,5.324305555551858138e-01,8.273863790232485194e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.829840402098341062e-02
2.000000000000000000e+01,5.324305555551858138e-01,8.763297503420235390e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.894337131877496416e-02
2.100000000000000000e+01,5.324305555551858138e-01,9.262312232095641917e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.990147286754061107e-02
2.200000000000000000e+01,5.543749999996150368e-01,9.770130993795796970e-01,2.849413886384130068e-01,7.150586113615869932e-01,0.000000000000000000e+00,5.078187617001548443e-02
